trader,legendary_setup,ticker,company_name,price,stage,theme,market_hunt_score,technical_score,formation_score,rs20_vs_spy,rsi14,atr_pct,adr20_pct,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,catalyst_status,catalyst_score,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,target_5,target_8,target_10,next_higher_resistance,intraday_rvol,pattern,legendary_score,setup_match,setup_reason,rsi_state,superstock_grade,superstock_action
Superstock Agent,Explosive Leader / Early Supertrend Candidate,NOW,"ServiceNow, Inc. Common Stock",146.01,FORMING,Cloud Computing,88.0,82,58,26.08,63.0,5.08,4.2,150.19,RESISTANCE_BREAKOUT,141.18,162.21,1.33,,ACTIVE,38,10.04,1,True,134.41,124.64,125.09,117.84,149.6,89.39,149.6,81.24,149.6,157.7,162.21,165.21,,1.05,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,COIN,"Coinbase Global, Inc. - Class A Common Stock",178.63,FORMING,UNCLASSIFIED,83.8,86,68,20.68,46.4,6.55,5.65,196.79,RESISTANCE_BREAKOUT,184.98,212.53,1.33,12.99,ACTIVE,38,10.14,1,True,176.44,170.9,198.45,146.02,195.85,139.11,195.85,139.11,222.35,206.63,212.53,216.46,222.35,1.34,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,BMNR,"BitMine Immersion Technologies, Inc. Common Stock",23.97,FORMING,UNCLASSIFIED,83.6,88,70,30.0,47.2,7.55,6.54,27.11,RESISTANCE_BREAKOUT,25.49,29.28,1.33,,ACTIVE,38,14.7,2,True,23.48,21.11,24.66,18.26,26.97,12.8,26.97,12.8,26.91,28.47,29.28,29.83,,0.81,"20/50 uptrend, rising EMA50, near EMA200 pivot, tight range, bull flag/pullback, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,TEAM,Atlassian Corporation  - Class A Common Stock,193.18,FORMING,UNCLASSIFIED,82.2,82,58,24.03,67.0,5.19,4.93,199.4,RESISTANCE_BREAKOUT,187.44,215.35,1.33,,ACTIVE,38,35.31,2,True,176.29,148.99,122.75,158.58,198.6,74.41,198.6,56.01,197.3,209.37,215.35,219.34,,0.79,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,ZETA,Zeta Global Holdings Corp. Class A Common Stock,31.24,FORMING,Infrastructure,81.8,92,68,10.37,65.4,4.78,4.48,32.93,RESISTANCE_BREAKOUT,30.95,35.56,1.33,,ACTIVE,30,11.58,1,True,29.83,26.95,21.98,27.11,32.81,17.77,32.81,14.36,31.05,34.58,35.56,36.22,,0.91,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,CRM,"Salesforce, Inc. Common Stock",260.8,FORMING,Cloud Computing,81.2,76,58,38.59,77.4,4.78,3.74,269.27,RESISTANCE_BREAKOUT,253.11,290.81,1.33,,ACTIVE,38,22.58,1,True,238.41,213.7,203.1,193.23,268.27,146.32,268.27,146.32,263.53,282.73,290.81,296.19,,0.9,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,STRONG / EXTENDED WATCH,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,SRPT,"Sarepta Therapeutics, Inc. - Common Stock",20.76,FORMING,Biotechnology,80.1,84,60,16.22,58.1,7.96,6.62,23.75,RESISTANCE_BREAKOUT,22.33,23.85,0.07,0.41,ACTIVE,38,10.95,1,True,20.45,19.22,18.83,17.88,23.62,14.75,23.62,14.68,23.85,24.94,25.65,26.13,23.85,0.98,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,SG,"Sweetgreen, Inc. Class A Common Stock",6.91,FORMING,UNCLASSIFIED,75.3,80,56,19.46,50.1,5.81,5.75,7.43,RESISTANCE_BREAKOUT,6.99,8.03,1.33,27.69,ACTIVE,38,10.31,1,True,6.77,6.83,7.06,5.76,7.4,5.0,9.49,4.49,10.63,7.8,8.03,8.18,9.49,1.02,"above EMA50, rising EMA50, near EMA50 support, near EMA200 pivot, bull flag/pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",32.93,FORMING,UNCLASSIFIED,71.4,78,60,55.69,28.5,5.28,6.35,41.28,RESISTANCE_BREAKOUT,38.8,44.58,1.33,,HISTORICAL / CONTEXT,20,63.84,2,True,32.34,27.67,19.34,28.0,41.14,15.71,41.14,12.44,41.14,43.34,44.58,45.41,,,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,WEAK MOMENTUM,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,AUGO,Aura Minerals Inc. - Common Shares,84.82,FORMING,Gold Miners,66.9,76,58,11.02,40.0,5.27,4.63,91.0,RESISTANCE_BREAKOUT,85.54,98.28,1.33,18.88,HISTORICAL / CONTEXT,20,13.79,3,True,83.09,76.29,66.22,74.09,90.64,47.61,90.64,47.61,108.18,95.55,98.28,100.1,108.18,,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,WEAK MOMENTUM,B WATCH,MONITOR ONLY
